percentile,quality
0,0.027737438679
1,0.032857429683
2,0.034246844649
3,0.035471231937
4,0.036283622980
5,0.037981218100
6,0.041018229127
7,0.043926655948
8,0.045937336683
9,0.049291025102
10,0.053414875269
11,0.056841523051
12,0.060080168247
13,0.065499602854
14,0.068126742840
15,0.070987363160
16,0.074365400076
17,0.077472084463
18,0.081989609599
19,0.086135742664
20,0.093609791994
21,0.098780037463
22,0.105616986156
23,0.113614726067
24,0.121708967686
25,0.132794320583
26,0.151814187169
27,0.175599464774
28,0.193531298637
29,0.214027759731
30,0.231473398209
31,0.251281219125
32,0.273986124992
33,0.297171789408
34,0.327247481942
35,0.350906942785
36,0.378766674995
37,0.408821343780
38,0.435589621067
39,0.456894564033
40,0.491868305206
41,0.519829968214
42,0.545343159437
43,0.574093978405
44,0.594434185028
45,0.615716385841
46,0.633169499636
47,0.649337347746
48,0.664439716339
49,0.686683027148
50,0.703174740076
51,0.723942928910
52,0.739553234577
53,0.758392146826
54,0.770209161043
55,0.783459472656
56,0.795457396507
57,0.806741027236
58,0.821818405390
59,0.832197176814
60,0.841081643105
61,0.849984002113
62,0.861003117561
63,0.869435722828
64,0.878877165318
65,0.885724681616
66,0.893107297421
67,0.901059466600
68,0.905903377533
69,0.912375172973
70,0.918449962139
71,0.922242063284
72,0.927875535488
73,0.933014731407
74,0.938536542654
75,0.943445980549
76,0.947595567703
77,0.952162349224
78,0.955065021515
79,0.958044073582
80,0.961812162399
81,0.965413692594
82,0.968587185144
83,0.971574236751
84,0.975197582245
85,0.978455147147
86,0.981131837368
87,0.983602536321
88,0.985994305611
89,0.987633335590
90,0.989182704687
91,0.991077370048
92,0.992620282173
93,0.994097169042
94,0.995773119926
95,0.996877115965
96,0.997586145401
97,0.998398263454
98,0.999231308699
99,0.999829362035
100,0.999999225140
