canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Crested Owl,Lophostrix cristata,Strigidae,Owl sp.,Strigiformes,"MA,SA",CROW,,0
Crested Partridge,Rollulus rouloul,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Crested Pigeon,Ocyphaps lophotes,Columbidae,Pigeon/Dove sp.,Columbiformes,AU,,,0
Crested Quail-Dove,Geotrygon versicolor,Columbidae,Pigeon/Dove sp.,Columbiformes,NA,CRQD,,0
Crested Quetzal,Pharomachrus antisianus,Trogonidae,Trogons,Trogoniformes,SA,,,0
Crested Satinbird,Cnemophilus macgregorii,Cnemophilidae,Satinbirds,Passeriformes,AU,,,0
Crested Serpent Eagle,Spilornis cheela,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,OR,,,0
Crested Shelduck,Tadorna cristata †,Anatidae,Waterfowl sp.,Anseriformes,PAL,,,0
Crested Spinetail,Cranioleuca subcristata,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Crested Tit,Lophophanes cristatus,Paridae,Titmouse/Chickadee sp.,Passeriformes,PAL,,,0
Crested Tit-warbler,Leptopoecile elegans,Aegithalidae,Bushtit sp.,Passeriformes,PAL,,,0
Crested Treeswift,Hemiprocne coronata,Hemiprocnidae,Treeswifts,Apodiformes,OR,,,0
Crestless Curassow,Mitu tomentosum,Cracidae,"Chachalacas, Curassows, Guans",Galliformes,SA,,,0
Cretzschmar's Bunting,Emberiza caesia,Emberizidae,Buntings,Passeriformes,PAL,,,0
Cricket Warbler,Spiloptila clamans,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Crimson Chat,Epthianura tricolor,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Crimson Finch,Neochmia phaeton,Estrildidae,Scaly-breasted Munia,Passeriformes,AU,,,0
Crimson Fruitcrow,Haematoderus militaris,Cotingidae,Cotingas,Passeriformes,SA,,,0
Crimson Rosella,Platycercus elegans,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Crimson Seedcracker,Pyrenestes sanguineus,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Crimson Shining Parrot,Prosopeia splendens,Psittaculidae,Old World Parrots,Psittaciformes,PO,,,0
Crimson Sunbird,Aethopyga siparaja,Nectariniidae,Sunbirds,Passeriformes,"OR,AU",,,0
Crimson Topaz,Topaza pella,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Crimson-backed Flameback,Chrysocolaptes stricklandi,Picidae,Woodpecker sp.,Piciformes,OR,,,0
Crimson-backed Sunbird,Leptocoma minima,Nectariniidae,Sunbirds,Passeriformes,OR,,,0
Crimson-backed Tanager,Ramphocelus dimidiatus,Thraupidae,Tanagers & Allies,Passeriformes,"MA,SA",CBTA,,0
Crimson-bellied Parakeet,Pyrrhura perlata,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Crimson-bellied Woodpecker,Campephilus haematogaster,Picidae,Woodpecker sp.,Piciformes,SA,CBWO,,0
Crimson-breasted Finch,Rhodospingus cruentus,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Crimson-breasted Flowerpecker,Prionochilus percussus,Dicaeidae,Flowerpeckers,Passeriformes,OR,,,0
Crimson-breasted Shrike,Laniarius atrococcineus,Malaconotidae,Bushshrikes,Passeriformes,AF,,,0
Crimson-browed Finch,Carpodacus subhimachalus,Fringillidae,Finch sp.,Passeriformes,"PAL,OR",,,0
Crimson-collared Grosbeak,Periporphyrus celaeno,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,MA,CCGR,,0
Crimson-collared Tanager,Ramphocelus sanguinolentus,Thraupidae,Tanagers & Allies,Passeriformes,MA,CCTA,,0
Crimson-crested Woodpecker,Campephilus melanoleucos,Picidae,Woodpecker sp.,Piciformes,SA,CCRW,,0
Crimson-crowned Flowerpecker,Dicaeum nehrkorni,Dicaeidae,Flowerpeckers,Passeriformes,AU,,,0
Crimson-crowned Fruit Dove,Ptilinopus porphyraceus,Columbidae,Pigeon/Dove sp.,Columbiformes,PO,,,0
Crimson-fronted Barbet,Psilopogon rubricapillus,Megalaimidae,Asian Barbets,Piciformes,OR,,,0
Crimson-fronted Cardinal,Paroaria baeri,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Crimson-headed Partridge,Haematortyx sanguiniceps,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Crimson-hooded Manakin,Pipra aureola,Pipridae,Manakins,Passeriformes,SA,,,0
Crimson-mantled Woodpecker,Colaptes rivolii,Picidae,Woodpecker sp.,Piciformes,SA,,,0
Crimson-naped Woodpecker,Dryobates cathpharius,Picidae,Woodpecker sp.,Piciformes,"OR,PAL",,,0
Crimson-rumped Myzomela,Myzomela eichhorni,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Crimson-rumped Toucanet,Aulacorhynchus haematopygus,Ramphastidae,Toucans,Piciformes,SA,,,0
Crimson-rumped Waxbill,Estrilda rhodopyga,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Crimson-winged Finch,Rhodopechys sanguineus,Fringillidae,Finch sp.,Passeriformes,"PAL,AF",,,0
Crimson-winged Woodpecker,Picus puniceus,Picidae,Woodpecker sp.,Piciformes,OR,,,0
Crinkle-collared Manucode,Manucodia chalybatus,Paradisaeidae,Birds-of-paradise,Passeriformes,AU,,,0
Crissal Thrasher,Toxostoma crissale,Mimidae,Mockingbird/Thrasher sp.,Passeriformes,"NA,MA",CRTH,,0
Croaking Cisticola,Cisticola natalensis,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Croaking Ground Dove,Columbina cruziana,Columbidae,Pigeon/Dove sp.,Columbiformes,SA,,,0
Crocker Jungle Flycatcher,Cyornis ruficrissa,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Crossley's Ground Thrush,Geokichla crossleyi,Turdidae,Thrush sp.,Passeriformes,AF,,,0
Crossley's Vanga,Mystacornis crossleyi,Vangidae,Vangas & Allies,Passeriformes,AF,,,0
Crow Honeyeater,Gymnomyza aubryana,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Crow-billed Drongo,Dicrurus annectens,Dicruridae,Drongos,Passeriformes,OR,,,0
Crowned Chat-Tyrant,Silvicultrix frontalis,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Crowned Cormorant,Microcarbo coronatus,Phalacrocoracidae,Cormorant sp.,Suliformes,AF,,,0
Crowned Eagle,Stephanoaetus coronatus,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
Crowned Hornbill,Lophoceros alboterminatus,Bucerotidae,Hornbills,Bucerotiformes,AF,,,0
Crowned Lapwing,Vanellus coronatus,Charadriidae,Plover sp.,Charadriiformes,AF,,,0
Crowned Sandgrouse,Pterocles coronatus,Pteroclidae,Sandgrouse,Pterocliformes,"AF,PAL",,,0
Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,Tyrannidae,Flycatcher sp.,Passeriformes,SA,CSFL,,0
Crowned Woodnymph,Thalurania colombica,Trochilidae,Hummingbird sp.,Apodiformes,"MA,SA",CRWO,,0
Crozet Shag,Leucocarbo melanogenis,Phalacrocoracidae,Cormorant sp.,Suliformes,SO,,,0
Cryptic Antthrush,Chamaeza meruloides,Formicariidae,Antthrushes,Passeriformes,SA,,,0
Cryptic Becard,Pachyramphus salvini,Tityridae,"Tityras, Becards & Allies",Passeriformes,SA,,,0
Cryptic Flycatcher,Ficedula crypta,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Cryptic Forest Falcon,Micrastur mintoni,Falconidae,Falcon/Caracara sp.,Falconiformes,SA,,,0
Cryptic Honeyeater,Microptilotis imitatrix,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Cryptic Treehunter,Cichlocolaptes mazarbarnetti †,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Cryptic Warbler,Cryptosylvicola randrianasoloi,Bernieridae,Tetrakas & Allies,Passeriformes,AF,,,0
Cuban Amazon,Amazona leucocephala,Psittacidae,Parrot sp.,Psittaciformes,NA,CUAM,,0
Cuban Black Hawk,Buteogallus gundlachii,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,NA,CUBH,,0
Cuban Blackbird,Ptiloxena atroviolacea,Icteridae,Blackbird/Oriole sp.,Passeriformes,NA,CUBL,,0
Cuban Bullfinch,Melopyrrha nigra,Thraupidae,Tanagers & Allies,Passeriformes,NA,CUBU,,0
Cuban Crow,Corvus nasicus,Corvidae,Corvid sp.,Passeriformes,NA,CUCR,,0
Cuban Emerald,Riccordia ricordii,Trochilidae,Hummingbird sp.,Apodiformes,NA,CUEM,,0
Cuban Gnatcatcher,Polioptila lembeyei,Polioptilidae,Gnatcatcher sp.,Passeriformes,NA,CUGN,,0
Cuban Grassquit,Phonipara canora,Thraupidae,Tanagers & Allies,Passeriformes,NA,CUGR,,0
Cuban Green Woodpecker,Xiphidiopicus percussus,Picidae,Woodpecker sp.,Piciformes,NA,CGWO,,0
Cuban Kite,Chondrohierax wilsonii,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,NA,CUKI,,0
Cuban Macaw,Ara tricolor †,Psittacidae,Parrot sp.,Psittaciformes,NA,CUBM,,0
Cuban Martin,Progne cryptoleuca,Hirundinidae,Swallow sp.,Passeriformes,NA,CUMA,,0
Cuban Nightjar,Antrostomus cubanensis,Caprimulgidae,Nightjar sp.,Caprimulgiformes,NA,CUNI,,0
Cuban Oriole,Icterus melanopsis,Icteridae,Blackbird/Oriole sp.,Passeriformes,NA,CUOR,,0
Cuban Palm Crow,Corvus minutus,Corvidae,Corvid sp.,Passeriformes,NA,CUPC,,0
Cuban Parakeet,Psittacara euops,Psittacidae,Parrot sp.,Psittaciformes,NA,CUPA,,0
Cuban Pewee,Contopus caribaeus,Tyrannidae,Flycatcher sp.,Passeriformes,NA,CUPE,,0
Cuban Pygmy Owl,Glaucidium siju,Strigidae,Owl sp.,Strigiformes,NA,CUPO,,0
Cuban Solitaire,Myadestes elisabeth,Turdidae,Thrush sp.,Passeriformes,NA,CUSO,,0
Cuban Tody,Todus multicolor,Todidae,Todies,Coraciiformes,NA,CUTO,,0
Cuban Trogon,Priotelus temnurus,Trogonidae,Trogons,Trogoniformes,NA,CUTR,,0
Cuban Vireo,Vireo gundlachii,Vireonidae,Vireo sp.,Passeriformes,NA,CUVI,,0
Cuckoo-finch,Anomalospiza imberbis,Viduidae,"Indigobirds, Whydahs",Passeriformes,AF,,,0
Cuckoo-roller,Leptosomus discolor,Leptosomidae,Cuckoo-roller,Leptosomiformes,AF,,,0
Cundinamarca Antpitta,Grallaria kaestneri,Grallariidae,Antpittas,Passeriformes,SA,,,0
Curl-crested Aracari,Pteroglossus beauharnaisii,Ramphastidae,Toucans,Piciformes,SA,,,0
Curl-crested Jay,Cyanocorax cristatellus,Corvidae,Corvid sp.,Passeriformes,SA,,,0
Curl-crested Manucode,Manucodia comrii,Paradisaeidae,Birds-of-paradise,Passeriformes,AU,,,0
Curlew Sandpiper,Calidris ferruginea,Scolopacidae,Sandpiper sp.,Charadriiformes,PAL,CUSA,,0
Curve-billed Reedhaunter,Limnornis curvirostris,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Curve-billed Scythebill,Campylorhamphus procurvoides,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Curve-billed Thrasher,Toxostoma curvirostre,Mimidae,Mockingbird/Thrasher sp.,Passeriformes,"NA,MA",CBTH,,1
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamidae,Tinamous,Tinamiformes,SA,,,0
Curve-winged Sabrewing,Pampa curvipennis,Trochilidae,Hummingbird sp.,Apodiformes,MA,WTSA,,0
Cut-throat Finch,Amadina fasciata,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Cuzco Brushfinch,Atlapetes canigenis,Passerellidae,Sparrow sp.,Passeriformes,SA,,,0
Cuzco Warbler,Myiothlypis chrysogaster,Parulidae,Warbler sp.,Passeriformes,SA,,,0
Cyprus Scops Owl,Otus cyprius,Strigidae,Owl sp.,Strigiformes,PAL,,,0
Cyprus Warbler,Curruca melanothorax,Sylviidae,Sylviid Babblers,Passeriformes,PAL,,,0
Cyprus Wheatear,Oenanthe cypriaca,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
D'Arnaud's Barbet,Trachyphonus darnaudii,Lybiidae,African Barbets,Piciformes,AF,,,0
D'Orbigny's Chat-Tyrant,Ochthoeca oenanthoides,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Dagua Thrush,Turdus daguae,Turdidae,Thrush sp.,Passeriformes,"MA,SA",DATH,,0
Dalat Bush Warbler,Locustella idonea,Locustellidae,Grassbirds & Allies,Passeriformes,OR,,,0
Dalmatian Pelican,Pelecanus crispus,Pelecanidae,Pelican sp.,Pelecaniformes,PAL,,,0
Damar Flycatcher,Ficedula henrici,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AU,,,0
Damara Red-billed Hornbill,Tockus damarensis,Bucerotidae,Hornbills,Bucerotiformes,AF,,,0
Damara Tern,Sternula balaenarum,Laridae,Gull/Tern/Skimmer sp.,Charadriiformes,AF,,,0
Dambo Cisticola,Cisticola dambo,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Dapple-throat,Arcanator orostruthus,Modulatricidae,Dapple-throat & Allies,Passeriformes,AF,,,0
Darjeeling Woodpecker,Dendrocopos darjellensis,Picidae,Woodpecker sp.,Piciformes,OR,,,0
Dark Batis,Batis crypta,Platysteiridae,"Wattle-eyes, Batises",Passeriformes,AF,,,0
Dark Chanting Goshawk,Melierax metabates,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
Dark Hawk-Cuckoo,Hierococcyx bocki,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,OR,,,0
Dark Newtonia,Newtonia amphichroa,Vangidae,Vangas & Allies,Passeriformes,AF,,,0
Dark Pewee,Contopus lugubris,Tyrannidae,Flycatcher sp.,Passeriformes,MA,DAPE,,0
Dark-backed Imperial Pigeon,Ducula lacernulata,Columbidae,Pigeon/Dove sp.,Columbiformes,"OR,AU",,,0
Dark-backed Sibia,Heterophasia melanoleuca,Leiothrichidae,Laughingthrushes & Allies,Passeriformes,OR,,,0
Dark-backed Weaver,Ploceus bicolor,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Dark-backed Wood Quail,Odontophorus melanonotus,Odontophoridae,New World Quail sp.,Galliformes,SA,,,0
Dark-bellied Cinclodes,Cinclodes patagonicus,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Dark-billed Cuckoo,Coccyzus melacoryphus,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,SA,DBCU,,0
Dark-breasted Rosefinch,Procarduelis nipalensis,Fringillidae,Finch sp.,Passeriformes,OR,,,0
Dark-breasted Spinetail,Synallaxis albigularis,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Dark-eared Myza,Myza celebensis,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Dark-eyed Junco,Junco hyemalis,Passerellidae,Sparrow sp.,Passeriformes,"NA,MA",DEJU,,1
Dark-eyed White-eye,Zosterops tetiparius,Zosteropidae,White-eyes,Passeriformes,AU,,,0
Dark-faced Ground Tyrant,Muscisaxicola maclovianus,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Dark-fronted Babbler,Dumetia atriceps,Timaliidae,"Babblers, Scimitar Babblers",Passeriformes,OR,,,0
Dark-necked Tailorbird,Orthotomus atrogularis,Cisticolidae,Cisticolas & Allies,Passeriformes,OR,,,0
Dark-rumped Rosefinch,Carpodacus edwardsii,Fringillidae,Finch sp.,Passeriformes,"PAL,OR",,,0
Dark-rumped Swift,Apus acuticauda,Apodidae,Swift sp.,Apodiformes,OR,,,0
Dark-sided Flycatcher,Muscicapa sibirica,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,"PAL,OR",DSFL,,0
Dark-sided Thrush,Zoothera marginata,Turdidae,Thrush sp.,Passeriformes,OR,,,0
Dark-throated Oriole,Oriolus xanthonotus,Oriolidae,"Figbirds, Old World Orioles, Piopios",Passeriformes,OR,,,0
Dark-throated Seedeater,Sporophila ruficollis,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Dark-winged Canastero,Asthenes arequipae,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Dark-winged Miner,Geositta saxicolina,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Dark-winged Trumpeter,Psophia viridis,Psophiidae,Trumpeters,Gruiformes,SA,,,0
Dartford Warbler,Curruca undata,Sylviidae,Sylviid Babblers,Passeriformes,PAL,,,0
Darwin's Flycatcher,Pyrocephalus nanus,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Darwin's Nothura,Nothura darwinii,Tinamidae,Tinamous,Tinamiformes,SA,,,0
Daurian Jackdaw,Coloeus dauuricus,Corvidae,Corvid sp.,Passeriformes,PAL,,,0
Daurian Partridge,Perdix dauurica,Phasianidae,Grouse/Pheasant sp.,Galliformes,PAL,,,0
Daurian Redstart,Phoenicurus auroreus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
Daurian Starling,Agropsar sturninus,Sturnidae,Starling/Myna sp.,Passeriformes,PAL,,,0
David's Fulvetta,Alcippe davidi,Alcippeidae,Alcippe Fulvettas,Passeriformes,OR,,,0
Davison's Leaf Warbler,Phylloscopus intensior,Phylloscopidae,Leaf Warblers,Passeriformes,OR,,,0
Dayak Blue Flycatcher,Cyornis montanus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Dead Sea Sparrow,Passer moabiticus,Passeridae,Old World Sparrow sp.,Passeriformes,PAL,,,0
Delicate Prinia,Prinia lepida,Cisticolidae,Cisticolas & Allies,Passeriformes,"PAL,OR",,,0
Delta Amacuro Softtail,Thripophaga amacurensis,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Demoiselle Crane,Grus virgo,Gruidae,Crane sp.,Gruiformes,PAL,,,0
Denham's Bustard,Neotis denhami,Otididae,Bustards,Otidiformes,AF,,,0
Des Murs's Wiretail,Sylviorthorhynchus desmurii,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Desert Cisticola,Cisticola aridulus,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Desert Finch,Rhodospiza obsoleta,Fringillidae,Finch sp.,Passeriformes,PAL,,,0
Desert Lark,Ammomanes deserti,Alaudidae,Horned Lark,Passeriformes,"AF,PAL",,,0
Desert Owl,Strix hadorami,Strigidae,Owl sp.,Strigiformes,"PAL,AF",,,0
Desert Sparrow,Passer simplex,Passeridae,Old World Sparrow sp.,Passeriformes,AF,,,0
Desert Wheatear,Oenanthe deserti,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
Desertas Petrel,Pterodroma deserta,Procellariidae,Shearwater/Petrel sp.,Procellariiformes,AO,,,0
Diademed Amazon,Amazona diadema,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Diademed Sandpiper-Plover,Phegornis mitchellii,Charadriidae,Plover sp.,Charadriiformes,SA,,,0
Diademed Tanager,Stephanophorus diadematus,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Diademed Tapaculo,Scytalopus schulenbergi,Rhinocryptidae,Tapaculos,Passeriformes,SA,,,0
Diamantina Sabrewing,Campylopterus diamantinensis,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Diamantina Tapaculo,Scytalopus diamantinensis,Rhinocryptidae,Tapaculos,Passeriformes,SA,,,0
Diamond Dove,Geopelia cuneata,Columbidae,Pigeon/Dove sp.,Columbiformes,AU,,,0
Diamond Firetail,Stagonopleura guttata,Estrildidae,Scaly-breasted Munia,Passeriformes,AU,,,0
Diard's Trogon,Harpactes diardii,Trogonidae,Trogons,Trogoniformes,OR,,,0
Dickcissel,Spiza americana,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,"NA,MA,SA",DICK,,1
Dickinson's Kestrel,Falco dickinsoni,Falconidae,Falcon/Caracara sp.,Falconiformes,AF,,,0
Diederik Cuckoo,Chrysococcyx caprius,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,AF,,,0
Dieffenbach's Rail,Hypotaenidia dieffenbachii †,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,AU,,,0
Dimorphic Dwarf Kingfisher,Ceyx margarethae,Alcedinidae,Kingfisher sp.,Coraciiformes,OR,,,0
Dimorphic Egret,Egretta dimorpha,Ardeidae,Heron/Egret/Bittern sp.,Pelecaniformes,AF,,,0
Dimorphic Fantail,Rhipidura brachyrhyncha,Rhipiduridae,Fantails,Passeriformes,AU,,,0
Dinelli's Doradito,Pseudocolopteryx dinelliana,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Diuca Finch,Diuca diuca,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Dja River Scrub Warbler,Bradypterus grandis,Locustellidae,Grassbirds & Allies,Passeriformes,AF,,,0
Djibouti Spurfowl,Pternistis ochropectus,Phasianidae,Grouse/Pheasant sp.,Galliformes,AF,,,0
Dodo,Raphus † cucullatus †,Columbidae,Pigeon/Dove sp.,Columbiformes,IO,,,0
Doherty's Bushshrike,Telophorus dohertyi,Malaconotidae,Bushshrikes,Passeriformes,AF,,,0
Dohrn's Warbler,Sylvia dohrni,Sylviidae,Sylviid Babblers,Passeriformes,AF,,,0
Dolphin Gull,Leucophaeus scoresbii,Laridae,Gull/Tern/Skimmer sp.,Charadriiformes,SA,,,0
Donaldson Smith's Nightjar,Caprimulgus donaldsoni,Caprimulgidae,Nightjar sp.,Caprimulgiformes,AF,,,0
Donaldson Smith's Sparrow-Weaver,Plocepasser donaldsoni,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Doria's Hawk,Megatriorchis doriae,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AU,,,0
Dorst's Cisticola,Cisticola guinea,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Dot-backed Antbird,Hylophylax punctulatus,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Dot-eared Coquette,Lophornis gouldii,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Dot-fronted Woodpecker,Veniliornis frontalis,Picidae,Woodpecker sp.,Piciformes,SA,,,0
Dot-winged Antwren,Microrhopias quixensis,Thamnophilidae,Antbirds,Passeriformes,"MA,SA",DWAN,,0
Dot-winged Crake,Laterallus spiloptera,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,SA,,,0
Dotted Tanager,Ixothraupis varia,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Double-banded Courser,Rhinoptilus africanus,Glareolidae,"Coursers, Pratincoles",Charadriiformes,AF,,,0
Double-banded Greytail,Xenerpestes minlosi,Furnariidae,Ovenbirds,Passeriformes,"MA,SA",DBGR,,0
Double-banded Plover,Anarhynchus bicinctus,Charadriidae,Plover sp.,Charadriiformes,AU,,,0
Double-banded Pygmy Tyrant,Lophotriccus vitiosus,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Double-banded Sandgrouse,Pterocles bicinctus,Pteroclidae,Sandgrouse,Pterocliformes,AF,,,0
Double-barred Finch,Stizoptera bichenovii,Estrildidae,Scaly-breasted Munia,Passeriformes,AU,,,0
Double-collared Seedeater,Sporophila caerulescens,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Double-crested Cormorant,Nannopterum auritum,Phalacrocoracidae,Cormorant sp.,Suliformes,"NA,MA",DCCO,,1
Double-eyed Fig Parrot,Cyclopsitta diophthalma,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Double-spurred Spurfowl,Pternistis bicalcaratus,Phasianidae,Grouse/Pheasant sp.,Galliformes,AF,,,0
Double-striped Thick-knee,Hesperoburhinus bistriatus,Burhinidae,"Stone-curlews, Thick-knees",Charadriiformes,"MA,SA",DSTK,,0
Double-toothed Barbet,Pogonornis bidentatus,Lybiidae,African Barbets,Piciformes,AF,,,0
Double-toothed Kite,Harpagus bidentatus,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,"MA,SA",DTKI,,0
Dovekie,Alle alle,Alcidae,Auk/Murre/Puffin sp.,Charadriiformes,"NA,PAL",DOVE,Little Auk,1
Downy Woodpecker,Dryobates pubescens,Picidae,Woodpecker sp.,Piciformes,NA,DOWO,,1
Drab Hemispingus,Pseudospingus xanthophthalmus,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Drab Myzomela,Myzomela blasii,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Drab Seedeater,Sporophila simplex,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Drab Swiftlet,Collocalia neglecta,Apodidae,Swift sp.,Apodiformes,OR,,,0
Drab Water Tyrant,Ochthornis littoralis,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Drab Whistler,Pachycephala griseonota,Pachycephalidae,Whistlers & Allies,Passeriformes,AU,,,0
Drab-breasted Bamboo Tyrant,Hemitriccus diops,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Drakensberg Prinia,Prinia hypoxantha,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Drakensberg Rockjumper,Chaetops aurantius,Chaetopidae,Rockjumpers,Passeriformes,AF,,,0
Drakensberg Siskin,Crithagra symonsi,Fringillidae,Finch sp.,Passeriformes,AF,,,0
Drongo Fantail,Chaetorhynchus papuensis,Rhipiduridae,Fantails,Passeriformes,AU,,,0
Dubois's Seedeater,Sporophila ardesiaca,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Duchess Lorikeet,Charmosynoides margarethae,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Duetting Giant Honeyeater,Gymnomyza brunneirostris,Meliphagidae,Honeyeaters,Passeriformes,PO,,,0
Dugand's Antwren,Herpsilochmus dugandi,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Duida Grass Finch,Emberizoides duidae,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Duida Woodcreeper,Lepidocolaptes duidae,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Dulit Frogmouth,Batrachostomus harterti,Podargidae,Frogmouths,Podargiformes,OR,,,0
Dulit Partridge,Rhizothera dulitensis,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Dull-blue Flycatcher,Eumyias sordidus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Dull-colored Grassquit,Asemospiza obscura,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Dull-mantled Antbird,Sipia laemosticta,Thamnophilidae,Antbirds,Passeriformes,MA,DMAN,,0
Dune Lark,Calendulauda erythrochlamys,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Dunlin,Calidris alpina,Scolopacidae,Sandpiper sp.,Charadriiformes,"NA,PAL",DUNL,,1
Dunn's Lark,Eremalauda dunni,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Dunnock,Prunella modularis,Prunellidae,Accentors,Passeriformes,PAL,,,0
Dupont's Lark,Chersophilus duponti,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Dusky Antbird,Cercomacroides tyrannina,Thamnophilidae,Antbirds,Passeriformes,"MA,SA",DUAN,,0
Dusky Babbler,Turdoides tenebrosa,Leiothrichidae,Laughingthrushes & Allies,Passeriformes,AF,,,0
Dusky Broadbill,Corydon sumatranus,Eurylaimidae,Typical Broadbills,Passeriformes,OR,,,0
