canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
African Yellow Warbler,Iduna natalensis,Acrocephalidae,Reed Warblers & Allies,Passeriformes,AF,,,0
Agami Heron,Agamia agami,Ardeidae,Heron/Egret/Bittern sp.,Pelecaniformes,"MA,SA",AGHE,,0
Agile Tit-Tyrant,Uromyias agilis,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Aguiguan Reed Warbler,Acrocephalus nijoi †,Acrocephalidae,Reed Warblers & Allies,Passeriformes,PO,,,0
Agulhas Long-billed Lark,Certhilauda brevirostris,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Ahanta Spurfowl,Pternistis ahantensis,Phasianidae,Grouse/Pheasant sp.,Galliformes,AF,,,0
Ainley's Storm Petrel,Hydrobates cheimomnestes,Hydrobatidae,Storm-Petrel sp.,Procellariiformes,PO,AISP,,0
Akekee,Loxops caeruleirostris,Fringillidae,Finch sp.,Passeriformes,PO,AKEK,,0
Akiapolaau,Hemignathus wilsoni,Fringillidae,Finch sp.,Passeriformes,PO,AKIA,,0
Akikiki,Oreomystis bairdi,Fringillidae,Finch sp.,Passeriformes,PO,AKIK,,0
Akohekohe,Palmeria dolei,Fringillidae,Finch sp.,Passeriformes,PO,AKOH,,0
Akun Eagle-Owl,Ketupa leucosticta,Strigidae,Owl sp.,Strigiformes,AF,,,0
Alagoas Antwren,Myrmotherula snowi,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Alagoas Curassow,Mitu mitu,Cracidae,"Chachalacas, Curassows, Guans",Galliformes,SA,,,0
Alagoas Foliage-gleaner,Philydor novaesi †,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Alagoas Tyrannulet,Phylloscartes ceciliae,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Alaotra Grebe,Tachybaptus rufolavatus †,Podicipedidae,Grebe sp.,Podicipediformes,AF,,,0
Albert's Lyrebird,Menura alberti,Menuridae,Lyrebirds,Passeriformes,AU,,,0
Albertine Owlet,Glaucidium albertinum,Strigidae,Owl sp.,Strigiformes,AF,,,0
Albertine Sooty Boubou,Laniarius holomelas,Malaconotidae,Bushshrikes,Passeriformes,AF,,,0
Aldabra Brush Warbler,Nesillas aldabrana †,Acrocephalidae,Reed Warblers & Allies,Passeriformes,AF,,,0
Aldabra Drongo,Dicrurus aldabranus,Dicruridae,Drongos,Passeriformes,AF,,,0
Aldabra Fody,Foudia aldabrana,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Aldabra White-eye,Zosterops aldabrensis,Zosteropidae,White-eyes,Passeriformes,IO,,,0
Alder Flycatcher,Empidonax alnorum,Tyrannidae,Flycatcher sp.,Passeriformes,NA,ALFL,,1
Aleutian Tern,Onychoprion aleuticus,Laridae,Gull/Tern/Skimmer sp.,Charadriiformes,"PAL,NA",ALTE,,0
Alexandrine Parakeet,Psittacula eupatria,Psittaculidae,Old World Parrots,Psittaciformes,OR,,,0
Algerian Nuthatch,Sitta ledanti,Sittidae,Nuthatch sp.,Passeriformes,AF,,,0
Allen's Gallinule,Porphyrio alleni,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,AF,,,0
Allen's Hummingbird,Selasphorus sasin,Trochilidae,Hummingbird sp.,Apodiformes,NA,ALHU,,1
Allpahuayo Antbird,Percnostola arenarum,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Alor Boobook,Ninox plesseni,Strigidae,Owl sp.,Strigiformes,AU,,,0
Alor Myzomela,Myzomela prawiradilagae,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Alpine Accentor,Prunella collaris,Prunellidae,Accentors,Passeriformes,PAL,,,0
Alpine Chough,Pyrrhocorax graculus,Corvidae,Corvid sp.,Passeriformes,PAL,,,0
Alpine Pipit,Anthus gutturalis,Motacillidae,Pipit/Wagtail sp.,Passeriformes,AU,,,0
Alpine Swift,Tachymarptis melba,Apodidae,Swift sp.,Apodiformes,"PAL,AF,OR",ALSW,,0
